日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-09-16,'688262,国芯科技,55.18,56.19,52.59,53.0,53.09,2.09,3.9367,9.3774,5230935,288490710.0,13243200000.0,3078070624.8
2022-09-15,'688262,国芯科技,53.09,54.76,51.3,53.41,53.41,-0.32,-0.5991,5.5026,3069505,161387015.0,12741600000.0,2961485492.4
2022-09-14,'688262,国芯科技,53.41,53.9,51.0,51.02,52.04,1.37,2.6326,5.5851,3115499,164244658.0,12818400000.0,2979335847.6
2022-09-13,'688262,国芯科技,52.04,53.83,51.33,52.0,51.62,0.42,0.8136,4.3405,2421256,126843105.0,12489600000.0,2902914014.4
2022-09-09,'688262,国芯科技,51.62,53.6,50.82,53.35,53.4,-1.78,-3.3333,5.5925,3119654,160894252.0,12388800000.0,2879485423.2
2022-09-08,'688262,国芯科技,53.4,55.5,53.2,55.18,55.9,-2.5,-4.4723,6.4124,3576967,194438021.0,12816000000.0,2978778024.0
2022-09-07,'688262,国芯科技,55.9,58.66,51.02,51.21,50.73,5.17,10.1912,12.1678,6787492,377024882.0,13416000000.0,3118233924.0
2022-09-06,'688262,国芯科技,50.73,51.35,49.82,50.83,50.7,0.03,0.0592,3.9139,2183256,110647811.0,12175200000.0,2829839122.8
2022-09-05,'688262,国芯科技,50.7,52.75,49.77,51.42,51.43,-0.73,-1.4194,5.3792,3000628,152771349.0,12168000000.0,2828165652.0
2022-09-02,'688262,国芯科技,51.43,52.3,47.61,48.01,47.91,3.52,7.3471,8.6654,4833785,244037711.0,12343200000.0,2868886774.8
2022-09-01,'688262,国芯科技,47.91,52.49,47.62,49.94,49.64,-1.73,-3.4851,7.2413,4039382,200655682.0,11498400000.0,2672532867.6
2022-08-31,'688262,国芯科技,49.64,53.3,49.0,49.11,49.0,0.64,1.3061,8.3552,4660712,237743541.0,11913600000.0,2769036350.4
2022-08-30,'688262,国芯科技,49.0,49.43,47.07,48.4,47.4,1.6,3.3755,4.7981,2676521,129208668.0,11760000000.0,2733335640.0
2022-08-29,'688262,国芯科技,47.4,49.49,46.02,47.02,47.72,-0.32,-0.6706,4.3176,2408460,116205052.0,11376000000.0,2644083864.0
2022-08-26,'688262,国芯科技,47.72,50.45,47.44,48.5,47.69,0.03,0.0629,4.7621,2656417,129681883.0,11452800000.0,2661934219.2
2022-08-25,'688262,国芯科技,47.69,49.47,47.13,48.56,49.04,-1.35,-2.7529,5.3742,2997840,143572411.0,11445600000.0,2660260748.4
2022-08-24,'688262,国芯科技,49.04,54.8,48.76,54.58,54.07,-5.03,-9.3028,9.9916,5573530,279177720.0,11769600000.0,2735566934.4
2022-08-23,'688262,国芯科技,54.07,54.87,52.13,53.09,52.57,1.5,2.8533,5.7963,3233297,173891443.0,12976800000.0,3016152205.2
2022-08-22,'688262,国芯科技,52.57,54.39,51.12,53.18,53.09,-0.52,-0.9795,5.526,3082533,161203583.0,12616800000.0,2932478665.2
2022-08-19,'688262,国芯科技,53.09,56.95,52.68,55.02,55.32,-2.23,-4.0311,5.4502,3040245,165001163.0,12741600000.0,2961485492.4
2022-08-18,'688262,国芯科技,55.32,56.4,53.88,54.31,54.56,0.76,1.393,5.3718,2996522,165687182.0,13276800000.0,3085880155.2
2022-08-17,'688262,国芯科技,54.56,56.24,54.25,55.06,55.24,-0.68,-1.231,3.9389,2197214,121204200.0,13094400000.0,3043485561.6
