日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-09-16,'688599,天合光能,66.32,69.68,66.32,66.88,66.91,-0.59,-0.8818,1.2504,16536937,1124873315.0,1.43754397363e+11,87709585623.8
2022-09-15,'688599,天合光能,66.91,72.11,65.48,72.0,71.56,-4.65,-6.498,2.2608,29899884,2003584064.0,1.45033273938e+11,88489872950.6
2022-09-14,'688599,天合光能,71.56,73.8,71.0,71.18,71.85,-0.29,-0.4036,0.8225,10877720,782467321.0,1.55112555417e+11,94639595103.1
2022-09-13,'688599,天合光能,71.85,72.84,70.12,71.99,72.5,-0.65,-0.8966,0.99,13092389,933949405.0,1.55741155768e+11,95023126162.1
2022-09-09,'688599,天合光能,72.5,74.97,70.37,74.39,74.97,-2.47,-3.2947,1.24,16399156,1183912638.0,1.57150087588e+11,95882764742.5
2022-09-08,'688599,天合光能,74.97,76.39,74.13,76.07,75.04,-0.07,-0.0933,0.8263,10928326,822812708.0,1.62504028503e+11,99149391348.2
2022-09-07,'688599,天合光能,75.04,78.42,73.89,73.95,74.8,0.24,0.3209,1.2703,16800308,1285817716.0,1.62655759622e+11,99241967810.7
2022-09-06,'688599,天合光能,74.8,75.9,70.01,71.8,71.25,3.55,4.9825,1.5207,20111687,1479958405.0,1.62135538642e+11,98924562796.4
2022-09-05,'688599,天合光能,71.25,74.4,70.8,72.8,72.8,-1.55,-2.1291,1.1698,15470751,1121972200.0,1.54440603319e+11,94229613626.2
2022-09-02,'688599,天合光能,72.8,74.0,70.0,73.2,73.12,-0.32,-0.4376,1.1236,14860061,1077190253.0,1.57800363812e+11,96279521010.4
2022-09-01,'688599,天合光能,73.12,74.52,70.52,71.18,71.49,1.63,2.28,1.1445,15136100,1100824926.0,1.58493991785e+11,96702727696.2
2022-08-31,'688599,天合光能,71.49,75.0,70.6,73.5,73.44,-1.95,-2.6552,1.4155,18719846,1352501736.0,1.54960824298e+11,94547018640.6
2022-08-30,'688599,天合光能,73.44,76.88,73.27,74.5,73.6,-0.16,-0.2174,1.3016,17213620,1290831738.0,1.59187619758e+11,97125934381.9
2022-08-29,'688599,天合光能,73.6,75.63,69.07,69.43,70.55,3.05,4.3232,1.9348,25587727,1885935200.0,1.59534433744e+11,97337537724.8
2022-08-26,'688599,天合光能,70.55,72.83,70.2,71.0,69.85,0.7,1.0021,1.5155,20042179,1430198200.0,1.52923292128e+11,93303849001.1
2022-08-25,'688599,天合光能,69.85,72.75,68.0,71.54,71.0,-1.15,-1.6197,1.7836,23673632,1643567805.0,1.51405980938e+11,92710374796.1
2022-08-24,'688599,天合光能,71.0,74.47,70.8,73.0,72.9,-1.9,-2.6063,1.4255,18920852,1360998555.0,1.53898706465e+11,94236744603.0
2022-08-23,'688599,天合光能,72.9,74.82,71.61,72.0,71.34,1.56,2.1867,1.797,23851159,1748097554.0,1.58017122554e+11,96758572979.7
2022-08-22,'688599,天合光能,71.34,72.38,68.6,69.5,72.19,-0.85,-1.1774,3.5398,46983446,3327537248.0,1.54635686186e+11,94688019154.6
